"GSM2462948","GSM2462949","GSM2462950","GSM2462951","GSM2462952","GSM2462953","GSM2462954","GSM2462955","GSM2462956","GSM2462957","GSM2462958","GSM2462959","GSM2462960","GSM2462961","GSM2462962","GSM2462963","GSM2462964","GSM2462965","GSM2462966","GSM2462967"
"1415736_at",724.181,1018.03,816.878,636.724,1187.44,951.393,1222.49,1055.66,1357.67,1475.44,1320.12,1358.7,1294.24,1289.96,1344.15,1060.31,909.277,977.717,1039.53,1051.87
"1415737_at",341.002,517.536,401.646,347.647,485.287,348.823,407.962,384.506,484.048,481.128,513.349,495.091,543.875,453.646,528.521,364.651,367.787,330.659,409.61,376.644
"1415738_at",263.458,380.94,280.55,258.909,453.875,423.773,470.505,396.204,471.539,529.643,555.203,513.174,628.419,534.265,562.008,448.649,398.058,461.374,519.222,498.002
"1415739_at",203.49,235.061,221.872,177.889,355.761,232.692,292.699,229.652,317.632,279.442,358.801,309.108,293.036,277.485,313.105,248.113,241.755,215.709,206.896,277.02
"1415740_at",664.494,845.152,769.368,632.58,1212.53,681.529,739.893,718.419,942.653,1012.81,873.865,816.245,889.902,808.95,981.232,746.405,723.734,714.288,867.948,737.744
"1415741_at",134.095,150.722,149.37,134.187,168.884,264.856,483.896,306.631,405.579,365.255,400.25,440.733,329.396,411.329,405.194,228.631,233.477,243.05,273.151,427.123
"1415742_at",525.058,828.614,683.058,576.401,904.984,596.697,696.828,666.578,779.428,898.733,828.591,723.422,794.826,680.036,824.064,691.89,640.767,629.445,699.086,666.793
"1415743_at",142.024,173.151,143.917,124.46,231.648,220.223,296.398,189.827,233.258,249.428,283.317,280.091,226.974,259.191,274.674,161.478,178.757,193.661,249.155,177.151
"1415744_at",683.159,813.055,723.23,561.912,940.619,611.104,600.141,501.187,606.657,754.418,653.943,744.405,791.524,642.282,797.109,645.678,517.877,600.933,775.34,655.552
"1415745_a_at",198.683,228.958,236.245,217.882,396.138,312.08,457.063,380.279,549.686,407.557,448.009,399.719,456.92,436.838,471.709,422.169,299.569,310.086,382.342,474.744
